,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
IA627,250.01,83.01,0.01,463.01,9584.01,202.01,51.01,0.00999999999999,0.01,20.01,0.01,5.01,0.00999999999999,96.01,0.0100000000002,0.00999999999999,28.01,11.01,0.00999999999999,1249.01
1448853,3038.01,18922.01,0.01,4256.01,0.01,4734.01,27.01,5.01,0.0100000000002,124.01,0.00999999999999,0.00999999999999,593.01,8079.01,645.01,0.0100000000002,0.00999999999999,4326.01,0.00999999999999,5554.01
12481028,650.01,58.01,0.01,0.01,0.01,0.01,0.01,0.01,46.01,0.01,0.01,0.01,0.01,65.01,96.01,33.01,0.01,0.01,0.01,0.01
11693518,27.01,127.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,25.01,73.01,215.01,0.01,7.01,0.01,0.01
100153138,1350.01,235.01,0.01,0.00999999999999,0.01,0.01,0.01,0.00999999999999,118.01,0.01,0.01,0.01,0.01,230.01,443.01,0.00999999999999,1.01,0.01,0.01,0.01
7701232,2382.01,9631.01,60.01,1.01,0.00999999999999,1499.01,1303.01,235.01,2010.01,792.01,22.01,102.01,239.01,2974.01,3212.01,336.01,0.00999999999999,127.01,9927.01,1599.01
1858001,3037.01,16011.01,0.00999999999999,176.01,167.01,1561.01,266.01,35.01,916.01,126.01,22.01,0.00999999999999,132.01,1999.01,0.00999999999999,676.01,74.01,0.00999999999999,17744.01,1697.01
9724697,2886.01,10440.01,2.01,0.00999999999999,0.00999999999999,0.01,51.01,130.01,236.01,601.01,282.01,298.01,309.01,927.01,366.01,5587.01,0.01,1817.01,0.00999999999999,0.01
7689516,4040.01,2100.01,63.01,0.00999999999999,0.01,3771.01,0.01,751.01,260.01,103.01,0.01,0.01,0.01,3183.01,3678.01,0.00999999999999,1.01,0.00999999999999,0.00999999999999,10563.01
11724840,0.0100000000002,0.0100000000002,1439.01,0.00999999999999,101.01,0.01,1353.01,0.00999999999999,7546.01,4038.01,23024.01,3969.01,0.00999999999999,1140.01,2000.01,0.0100000000002,0.01,0.0100000000002,128.01,0.00999999999999
9777087,3155.01,3251.01,0.00999999999999,0.00999999999999,4568.01,0.01,0.00999999999999,0.00999999999999,2210.01,2993.01,88.01,3681.01,2374.01,1355.01,1898.01,0.00999999999999,0.01,96.01,0.00999999999999,0.01
2015586,25898.01,2801.01,0.01,0.0100000000002,1757.01,0.00999999999999,357.01,42.01,0.00999999999999,1862.01,0.00999999999999,65.01,1818.01,309.01,0.01,130.01,0.01,233.01,0.00999999999999,0.00999999999999
10822931,2078.01,2451.01,19.01,63.01,11015.01,518.01,179.01,1093.01,0.01,392.01,0.01,0.01,4720.01,3428.01,605.01,0.00999999999999,1549.01,100.01,0.01,638.01
1490783,831.01,9595.01,0.00999999999999,15.01,0.01,1250.01,4057.01,0.00999999999999,1548.01,0.00999999999999,1954.01,813.01,293.01,1559.01,264.01,0.0100000000002,554.01,663.01,1444.01,13081.01
8641221,7115.01,4291.01,1132.01,777.01,6686.01,8239.01,0.0100000000002,1792.01,7990.01,6548.01,4.01,0.01,3616.01,23196.01,26336.01,154.01,3312.01,0.00999999999999,0.00999999999999,119.01
1876478,807.01,11341.01,148.01,52.01,0.0100000000002,4805.01,21.01,115.01,1627.01,0.00999999999999,0.01,0.01,55.01,3905.01,0.01,0.0100000000002,170.01,0.0100000000002,89.01,25795.01
6520146,202.01,685.01,0.00999999999999,0.01,0.00999999999999,0.01,0.00999999999999,0.00999999999999,590.01,0.00999999999999,65.01,147.01,0.01,0.0100000000002,0.0100000000002,0.00999999999999,0.00999999999999,0.0100000000002,33204.01,0.01
9719173,21.01,501.01,16151.01,664.01,0.01,3045.01,0.01,4392.01,2311.01,1152.01,0.0100000000002,8.01,6719.01,9673.01,18727.01,0.01,0.00999999999999,0.01,0.00999999999999,0.00999999999999
11603167,221.01,0.01,3.01,676.01,0.01,1042.01,0.01,3830.01,383.01,621.01,0.01,0.00999999999999,3795.01,2642.01,3058.01,0.00999999999999,0.00999999999999,0.01,0.01,0.00999999999999
IA629,0.00999999999999,0.00999999999999,0.01,0.00999999999999,3972.01,0.00999999999999,0.00999999999999,321.01,0.00999999999999,17.01,0.01,0.01,46.01,542.01,952.01,0.01,0.01,0.01,0.01,0.00999999999999
9777341,449.01,1286.01,87.01,158.01,0.01,206.01,0.00999999999999,75.01,1129.01,0.01,0.01,0.00999999999999,70.01,4143.01,8735.01,0.00999999999999,290.01,0.01,0.00999999999999,358.01
IA631,3552.01,3500.01,0.01,16.01,0.01,202.01,0.01,46.01,938.01,97.01,0.00999999999999,3942.01,420.01,2442.01,5671.01,66.01,0.01,0.00999999999999,0.00999999999999,301.01
8622596,160.01,0.01,0.00999999999999,0.00999999999999,193.01,0.01,0.00999999999999,492.01,2549.01,2901.01,110.01,170.01,5001.01,3563.01,5528.01,2.01,47.01,0.00999999999999,0.00999999999999,0.00999999999999
1038530,2291.01,11654.01,0.01,423.01,0.00999999999999,1345.01,171.01,0.0100000000002,16886.01,450.01,385.01,441.01,0.01,1787.01,525.01,361.01,386.01,51.01,99470.01,531.01
