,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39
IA627,0.0279852853252,8.30399255962e-07,8.30399255962e-07,0.690976051285,0.00299026772072,8.30399255962e-07,0.00191074868797,0.00481714608384,8.30399255962e-07,8.30399255962e-07,8.30399255962e-07,8.30399255962e-07,8.30399255962e-07,8.30399255962e-07,0.0100486613964,8.30399255962e-07,8.30399255962e-07,0.0730759649239,8.30399255962e-07,8.30399255962e-07,0.00157858898558,8.30399255962e-07,8.30399255962e-07,0.00490018600943,0.00963346176842,0.0218403308311,0.0385313558759,8.30399255962e-07,0.105046336278,8.30399255962e-07,0.00382066697668,8.30399255962e-07,8.30399255962e-07,8.30399255962e-07,8.30399255962e-07,8.30399255962e-07,0.00282418786953,8.30399255962e-07,8.30399255962e-07,8.30399255962e-07
1448853,0.0760189172104,1.98793719713e-07,1.98793719713e-07,1.98793719709e-07,1.98793719709e-07,0.000616459324817,0.0271951796499,0.00381703821213,0.230262964332,7.97162816032e-05,1.98793719709e-07,0.00608328661681,0.0365782432201,1.98793719709e-07,0.0151681596075,0.00286282835753,1.98793719713e-07,0.0281692688765,2.00781656906e-05,0.00200801536278,1.98793719709e-07,1.98793719709e-07,1.98793719709e-07,0.00485076555461,0.0290439612432,0.168994739918,0.0697370356676,1.98793719713e-07,0.178656114696,1.98793719709e-07,0.0208139012472,1.98793719709e-07,1.98793719709e-07,1.98793719709e-07,1.98793719709e-07,1.98793719709e-07,1.98793719709e-07,1.98793719709e-07,1.98793719713e-07,0.0990193505807
12481028,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,0.0326971741881,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,0.103342471531,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,0.548302404049,1.05440742303e-05,0.0348059890342,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,1.05440742303e-05,0.253068325601,0.027425137073
11693518,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,0.0337478920742,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,0.193950252951,2.10792580101e-05,0.0442875210793,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,0.328857504216,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,0.0485033726813,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,2.10792580101e-05,0.349936762226,2.10792580101e-05
100153138,4.20627576344e-06,0.0294481366198,4.20627576344e-06,4.20627576344e-06,0.00378985446286,4.20627576344e-06,4.20627576344e-06,4.20627576344e-06,0.0521620257424,4.20627576344e-06,4.20627576344e-06,4.20627576344e-06,4.20627576344e-06,4.20627576344e-06,4.20627576344e-06,0.00294859931017,4.20627576344e-06,0.062677715151,4.20627576344e-06,4.20627576344e-06,4.20627576344e-06,4.20627576344e-06,4.20627576344e-06,0.444607554471,4.20627576344e-06,4.20627576344e-06,4.20627576344e-06,4.20627576344e-06,4.20627576344e-06,0.0281862538908,0.000424833852107,4.20627576344e-06,4.20627576344e-06,4.20627576344e-06,4.20627576344e-06,4.20627576344e-06,4.20627576344e-06,4.20627576344e-06,0.32514932279,0.050479515437
7701232,0.0233738621836,0.00982157063926,0.00249674909606,2.74337885513e-07,0.180980977411,2.74337885513e-07,0.00219497742199,0.048174007034,0.119584158633,2.74337885513e-07,0.0115224655294,2.74337885513e-07,0.0499023357128,2.74337885513e-07,0.00455428323741,0.0034843654839,2.74337885513e-07,0.0376394322303,2.74337885513e-07,2.74337885513e-07,0.0168171867199,0.00214010984489,0.000823287994425,0.0319057704231,0.027571231832,0.0579130019697,2.74337885513e-07,0.00910829213693,0.0404651124511,0.0524262442595,0.000933023148631,2.74337885513e-07,0.0381881080013,2.74337885513e-07,0.165755224765,2.74337885519e-07,0.0012347948227,2.74337885513e-07,0.0426598155352,0.0183260450902
1858001,0.0172047563363,2.24017347903e-07,2.24017347903e-07,2.24017347903e-07,0.273951038768,2.24017347903e-07,2.24017347903e-07,0.00353969811422,0.112568941339,2.24017347903e-07,2.24017347903e-07,2.24017347903e-07,0.0347005112076,0.00203878188327,2.24017347903e-07,0.000448258713155,2.24017347903e-07,0.0325499446677,4.50274869286e-05,0.00616070108469,0.00118751596124,0.00132192636998,2.24017347903e-07,0.0195345367545,0.0293913000623,0.136337181951,2.24017347903e-07,2.24017347903e-07,0.0325051411981,0.0119403486606,0.00448057097542,2.24017347903e-07,0.0121643660085,2.24017347903e-07,0.218596352102,2.24017347903e-07,0.000649874326268,2.24017347903e-07,0.0294361035319,0.0192433142023
9724697,4.17843592786e-07,4.17843592786e-07,4.17843592786e-07,4.17843592786e-07,4.17843592786e-07,4.17843592786e-07,4.17843592786e-07,0.00806479918437,0.0940987949391,4.17843592786e-07,4.17843592786e-07,4.17843592786e-07,0.0617577008574,4.17843592786e-07,0.00647699353178,0.252252594809,4.17843592786e-07,0.0449603884274,4.17843592786e-07,4.17843592786e-07,0.0247785428958,4.17843592786e-07,0.00325959786733,0.0883325533586,4.17843592786e-07,0.275442914208,4.17843592786e-07,4.17843592786e-07,4.17843592786e-07,4.17843592786e-07,0.0174244956628,4.17843592786e-07,0.00931832996273,4.17843592786e-07,4.17843592786e-07,4.17843592786e-07,0.000125770921429,0.0183437515669,0.0599191890492,0.0354335545119
7689516,0.0419455413946,0.001718840966,3.50712296674e-07,3.50712296675e-07,3.50712296674e-07,0.00424396950206,3.50712296675e-07,3.50712296675e-07,0.0607437204963,3.50712296674e-07,3.50712296674e-07,3.50712296674e-07,0.0268649126376,3.50712296674e-07,3.50712296675e-07,3.50712296675e-07,3.50712296675e-07,3.50712296674e-07,3.50712296674e-07,3.50712296675e-07,0.0030164764637,3.50712296675e-07,0.000421205468306,0.0500820666774,0.427238070521,0.0208326611348,3.50712296675e-07,0.0575171673669,0.0915362601444,0.0656186214201,3.50712296674e-07,3.50712296674e-07,0.00122784375066,3.50712296675e-07,3.50712296674e-07,3.50712296674e-07,3.50712296675e-07,3.50712296674e-07,0.106231105375,0.0407531195859
11724840,2.23521627953e-07,2.23521627953e-07,0.027471031597,2.23521627953e-07,2.23521627953e-07,2.23521627953e-07,0.000670788405486,0.00429183877832,2.23521627958e-07,2.23521627953e-07,0.0700966060476,2.23521627953e-07,2.23521627953e-07,2.23521627953e-07,2.23521627953e-07,2.23521627953e-07,2.23521627953e-07,0.0351601755986,0.0210559608748,2.23521627953e-07,0.0645309175116,0.185210244443,0.0493985032992,2.23521627958e-07,2.23521627953e-07,2.23521627958e-07,2.23521627953e-07,2.23521627953e-07,2.23521627953e-07,0.00927637108167,2.23521627958e-07,2.23521627953e-07,2.23521627953e-07,0.00257072224308,2.23521627958e-07,2.23521627953e-07,0.000223745149581,0.259106494644,0.262861657994,0.00806935429072
