,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39
IA627,337.01,0.01,0.00999999999999,8321.01,36.01,0.01,23.01,58.01,0.00999999999999,0.01,0.00999999999999,0.01,0.00999999999999,0.01,121.01,0.01,0.00999999999999,880.01,0.00999999999999,0.00999999999999,19.01,0.01,0.01,59.01,116.01,263.01,464.01,0.01,1265.01,0.00999999999999,46.01,0.01,0.01,0.01,0.01,0.01,34.01,0.01,0.01,0.00999999999999
1448853,3824.01,0.0100000000002,0.0100000000002,0.01,0.00999999999999,31.01,1368.01,192.01,11583.01,4.01,0.00999999999999,306.01,1840.01,0.01,763.01,144.01,0.0100000000002,1417.01,1.01,101.01,0.00999999999999,0.01,0.01,244.01,1461.01,8501.01,3508.01,0.0100000000002,8987.01,0.01,1047.01,0.00999999999999,0.01,0.01,0.00999999999999,0.01,0.00999999999999,0.01,0.0100000000002,4981.01
12481028,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,31.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,98.01,0.01,0.01,0.01,0.01,0.01,520.01,0.01,33.01,0.01,0.00999999999999,0.01,0.00999999999999,0.01,0.01,0.00999999999999,0.01,0.01,0.01,0.01,0.01,240.01,26.01
11693518,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,16.01,0.01,0.01,0.01,0.01,0.01,0.01,92.01,0.01,21.01,0.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,156.01,0.01,0.01,0.01,23.01,0.00999999999999,0.01,0.01,0.01,0.01,0.01,0.01,0.01,166.01,0.01
100153138,0.00999999999999,70.01,0.01,0.01,9.01,0.01,0.01,0.00999999999999,124.01,0.01,0.01,0.01,0.00999999999999,0.01,0.01,7.01,0.01,149.01,0.01,0.01,0.01,0.01,0.01,1057.01,0.01,0.00999999999999,0.01,0.00999999999999,0.01,67.01,1.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,773.01,120.01
7701232,852.01,358.01,91.01,0.00999999999999,6597.01,0.00999999999999,80.01,1756.01,4359.01,0.01,420.01,0.01,1819.01,0.00999999999999,166.01,127.01,0.00999999999999,1372.01,0.00999999999999,0.00999999999999,613.01,78.01,30.01,1163.01,1005.01,2111.01,0.01,332.01,1475.01,1911.01,34.01,0.00999999999999,1392.01,0.00999999999999,6042.01,0.0100000000002,45.01,0.00999999999999,1555.01,668.01
1858001,768.01,0.01,0.00999999999999,0.01,12229.01,0.01,0.00999999999999,158.01,5025.01,0.01,0.00999999999999,0.00999999999999,1549.01,91.01,0.00999999999999,20.01,0.01,1453.01,2.01,275.01,53.01,59.01,0.00999999999999,872.01,1312.01,6086.01,0.01,0.00999999999999,1451.01,533.01,200.01,0.00999999999999,543.01,0.00999999999999,9758.01,0.01,29.01,0.00999999999999,1314.01,859.01
9724697,0.00999999999999,0.00999999999999,0.01,0.01,0.00999999999999,0.01,0.01,193.01,2252.01,0.00999999999999,0.01,0.01,1478.01,0.01,155.01,6037.01,0.00999999999999,1076.01,0.00999999999999,0.01,593.01,0.01,78.01,2114.01,0.01,6592.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,417.01,0.00999999999999,223.01,0.01,0.00999999999999,0.01,3.01,439.01,1434.01,848.01
7689516,1196.01,49.01,0.00999999999999,0.01,0.00999999999999,121.01,0.01,0.01,1732.01,0.00999999999999,0.00999999999999,0.01,766.01,0.00999999999999,0.01,0.01,0.01,0.00999999999999,0.00999999999999,0.01,86.01,0.01,12.01,1428.01,12182.01,594.01,0.01,1640.01,2610.01,1871.01,0.00999999999999,0.00999999999999,35.01,0.01,0.00999999999999,0.00999999999999,0.01,0.01,3029.01,1162.01
11724840,0.00999999999999,0.00999999999999,1229.01,0.00999999999999,0.01,0.00999999999999,30.01,192.01,0.0100000000002,0.01,3136.01,0.01,0.00999999999999,0.00999999999999,0.01,0.00999999999999,0.01,1573.01,942.01,0.00999999999999,2887.01,8286.01,2210.01,0.0100000000002,0.01,0.0100000000002,0.01,0.00999999999999,0.01,415.01,0.0100000000002,0.00999999999999,0.00999999999999,115.01,0.0100000000002,0.01,10.01,11592.01,11760.01,361.01
