,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59
IA627,0.0146986531148,8.30385464932e-07,8.30385464933e-07,8.30385464932e-07,8.30385464932e-07,8.30385464932e-07,8.30385464932e-07,0.0109619185226,8.30385464933e-07,8.30385464932e-07,0.157441914537,8.30385464933e-07,8.30385464933e-07,8.30385464932e-07,8.30385464932e-07,8.30385464933e-07,0.0817107601349,0.00174463986182,0.00224287114078,8.30385464932e-07,8.30385464933e-07,8.30385464933e-07,8.30385464933e-07,8.30385464933e-07,8.30385464933e-07,8.30385464933e-07,8.30385464933e-07,0.00357148788468,8.30385464932e-07,8.30385464933e-07,8.30385464933e-07,8.30385464932e-07,8.30385464932e-07,8.30385464933e-07,8.30385464933e-07,0.103300782223,0.00490010462857,0.0345448657267,8.30385464933e-07,8.30385464933e-07,0.546643581951,8.30385464933e-07,8.30385464933e-07,8.30385464932e-07,0.00498314317506,8.30385464933e-07,0.00847076212778,8.30385464932e-07,8.30385464932e-07,8.30385464933e-07,8.30385464933e-07,8.30385464933e-07,0.0247463172405,8.30385464933e-07,8.30385464932e-07,8.30385464933e-07,8.30385464933e-07,8.30385464932e-07,8.30385464933e-07,8.30385464932e-07
1448853,1.98792929333e-07,1.98792929333e-07,0.000835129096128,1.98792929333e-07,0.00483086697572,1.98792929333e-07,0.00828986394612,0.10319360841,0.00286281697533,0.00880672556239,1.98792929333e-07,1.98792929333e-07,1.98792929333e-07,1.98792929333e-07,1.98792929333e-07,1.98792929333e-07,0.00970129374438,1.98792929333e-07,0.0743487543635,1.98792929333e-07,1.98792929333e-07,0.201476832672,1.98792929333e-07,1.98792929333e-07,1.98792929333e-07,0.0206349048577,0.0116494644518,0.0144922033413,1.98792929333e-07,1.98792929333e-07,1.98792929333e-07,1.98792929333e-07,1.98792929333e-07,1.98792929333e-07,1.98792929333e-07,0.222747676111,1.98792929333e-07,0.0425220063773,1.98792929333e-07,1.98792929337e-07,1.98792929333e-07,1.98792929333e-07,1.98792929333e-07,1.98792929333e-07,0.0596579568858,0.00131223212653,0.00306160990466,1.98792929333e-07,0.152593651349,1.98792929333e-07,1.98792929333e-07,1.98792929333e-07,0.0569742523398,1.98792929333e-07,1.98792929333e-07,1.98792929333e-07,1.98792929333e-07,1.98792929333e-07,1.98792929337e-07,1.98792929333e-07
12481028,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,0.123350200295,1.05418511491e-05,1.05418511491e-05,0.0853995361585,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,0.0274193548387,1.05418511491e-05,0.589300021084,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,0.0305819101834,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,0.0664242040902,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,1.05418511491e-05,0.00106472696606,1.05418511491e-05,0.0759118701244,1.05418511491e-05
11693518,0.00212810788032,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,0.311862621155,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,0.187547408344,2.10703750527e-05,2.10703750527e-05,0.0400547829751,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,0.316076696165,2.10703750527e-05,0.0632321955331,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,2.10703750527e-05,0.07798145807,2.10703750527e-05
100153138,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,0.00799545760431,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,0.152679172275,4.20592193809e-06,4.20592193809e-06,0.0403810565276,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,0.00126598250336,4.20592193809e-06,0.513547274563,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,0.0290250672948,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,0.0500546769852,4.20592193809e-06,0.0075748654105,4.20592193809e-06,0.0635136271871,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,4.20592193809e-06,0.133752523553,4.20592193809e-06
7701232,0.0344843573396,2.74336380296e-07,0.00406045276476,0.00938257854251,0.0928905727046,2.74336380296e-07,2.74336380296e-07,0.0120710750694,0.0265834695871,2.74336380302e-07,2.74336380296e-07,2.74336380296e-07,2.74336380296e-07,0.00211266446466,2.74336380296e-07,2.74336380296e-07,0.0382701993877,2.74336380296e-07,2.74336380296e-07,0.00803833027905,2.74336380296e-07,0.12164102536,2.74336380296e-07,2.74336380296e-07,2.74336380302e-07,2.74336380296e-07,0.00447195733521,0.00913567580024,0.0217277156558,2.74336380296e-07,2.74336380296e-07,0.000192309802588,2.74336380296e-07,2.74336380296e-07,2.74336380296e-07,2.74336380296e-07,2.74336380296e-07,0.0188197500247,0.00781886117482,0.327311009668,2.74336380296e-07,0.0378586948172,0.022770193901,2.74336380296e-07,0.0156374480133,0.00142682351392,0.00414275367885,2.74336380296e-07,0.0457321489317,2.74336380296e-07,0.0148144388724,2.74336380296e-07,0.00875160486782,0.0213985119995,2.74336380296e-07,0.0017834608083,2.74336380296e-07,0.0112206322905,0.0612595880565,0.0141834651977
1858001,2.24016344232e-07,2.24016344232e-07,2.24016344232e-07,2.24016344232e-07,0.182640749469,0.00768398462352,2.24016344232e-07,0.0424737228828,2.24016344232e-07,0.00401011657811,2.24016344232e-07,2.24016344232e-07,2.24016344232e-07,2.24016344232e-07,2.24016344232e-07,0.00678791924659,0.0191984247171,2.24016344232e-07,0.0097897382593,2.24016344232e-07,2.24016344232e-07,0.086627344331,2.24016344232e-07,2.24016344232e-07,2.24016344232e-07,2.24016344232e-07,2.24016344232e-07,0.0137548275522,0.00504059176157,2.24016344232e-07,2.24016344232e-07,2.24016344232e-07,2.24016344232e-07,2.24016344232e-07,2.24016344232e-07,2.24016344232e-07,2.24016344232e-07,0.0115146641099,2.24016344232e-07,0.476169365317,2.24016344232e-07,0.019512047599,0.00362928879291,2.24016344232e-07,2.24016344232e-07,2.24016344232e-07,0.00963292681834,2.24016344237e-07,0.0627920053047,2.26256507675e-05,0.00141152698501,2.24016344232e-07,0.0130155736163,0.000627469780195,2.24016344232e-07,2.24016344232e-07,2.24016344232e-07,2.24016344232e-07,2.24016344232e-07,0.0236563499673
9724697,4.1784010095e-07,4.1784010095e-07,4.1784010095e-07,4.1784010095e-07,0.0376060269256,4.1784010095e-07,0.000209337890576,0.0211431269482,4.1784010095e-07,4.1784010095e-07,4.1784010095e-07,4.1784010095e-07,4.1784010095e-07,0.0271182403918,4.1784010095e-07,4.1784010095e-07,0.0288313848057,4.1784010095e-07,4.1784010095e-07,4.1784010095e-07,4.1784010095e-07,0.0867022387873,4.1784010095e-07,4.1784010095e-07,4.1784010095e-07,4.1784010095e-07,0.58940566424,0.00125393814295,0.0121177807677,4.1784010095e-07,4.1784010095e-07,0.00551590717264,4.1784010095e-07,4.1784010095e-07,0.00647693940483,4.1784010095e-07,4.1784010095e-07,4.1784010095e-07,4.1784010095e-07,0.00727083559663,4.1784010095e-07,4.2201850196e-05,4.1784010095e-07,4.1784010095e-07,0.0449600127023,4.1784010095e-07,0.0284553287148,4.1784010095e-07,0.0467985091465,4.1784010095e-07,0.0142069812724,4.1784010095e-07,0.0346393622089,4.1784010095e-07,4.1784010095e-07,4.1784010095e-07,0.00722905158654,4.1784010095e-07,4.1784010095e-07,4.1784010095e-07
7689516,0.0806285421694,3.50709836709e-07,0.0110827815499,0.00368280399529,0.0313538101117,0.331912140172,3.50709836709e-07,3.50709836709e-07,3.50709836709e-07,3.50709836717e-07,3.50709836709e-07,3.5070983671e-07,3.50709836709e-07,0.0126960467987,3.50709836709e-07,3.50709836709e-07,3.50709836709e-07,3.50709836709e-07,3.50709836709e-07,3.50709836709e-07,3.50709836709e-07,0.0822768784019,3.50709836709e-07,3.5070983671e-07,3.50709836709e-07,0.0123804079457,3.50709836709e-07,0.0398059171764,0.0374561612704,0.000140634644521,3.50709836709e-07,3.50709836709e-07,0.00771596711745,3.5070983671e-07,0.00213968071376,3.50709836709e-07,0.023427767802,0.0782086442961,3.50709836709e-07,3.50709836709e-07,3.50709836709e-07,3.54216935077e-05,3.50709836709e-07,3.50709836709e-07,3.50709836709e-07,3.5070983671e-07,0.0460134812861,3.50709836709e-07,0.00522592727681,3.50709836709e-07,0.00336716514225,3.50709836709e-07,3.50709836709e-07,3.50709836709e-07,0.0297405448628,3.50709836709e-07,3.50709836709e-07,0.00908373548061,0.151612213119,3.50709836709e-07
11724840,2.23520628719e-07,2.23520628719e-07,2.23520628719e-07,2.23520628719e-07,2.23520628719e-07,2.23520628719e-07,2.23520628719e-07,2.23520628719e-07,2.23520628719e-07,2.23520628719e-07,2.23520628719e-07,4.49276463725e-05,2.23520628719e-07,0.192227964219,2.23520628719e-07,2.23520628719e-07,0.0450172781446,2.23520628719e-07,2.23520628719e-07,0.052795796024,2.23520628719e-07,0.00172133236176,2.23520628719e-07,0.00641526556486,2.23520628719e-07,2.23520628719e-07,2.23520628719e-07,2.23520628719e-07,2.23520628724e-07,0.0219499492608,2.23520628719e-07,0.0417315249024,2.23520628719e-07,2.23520628719e-07,2.23520628719e-07,2.23520628719e-07,2.23520628719e-07,2.23520628719e-07,0.00500708560393,2.23520628724e-07,2.23520628719e-07,0.00210131743059,2.23520628719e-07,2.23520628719e-07,2.23520628719e-07,2.23520628719e-07,2.23520628719e-07,2.23520628719e-07,0.0108633260764,0.245492930043,0.067794030211,2.23520628719e-07,2.23520628719e-07,0.017390128435,2.23520628719e-07,0.0322766023076,0.204588654987,2.23520628719e-07,0.0525722753953,2.23520628719e-07
