,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59
IA627,177.01,0.00999999999999,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.00999999999999,132.01,0.01,0.00999999999999,1896.01,0.01,0.01,0.00999999999999,0.00999999999999,0.01,984.01,21.01,27.01,0.00999999999999,0.01,0.01,0.01,0.01,0.01,0.01,0.01,43.01,0.00999999999999,0.01,0.01,0.00999999999999,0.00999999999999,0.01,0.01,1244.01,59.01,416.01,0.01,0.01,6583.01,0.01,0.01,0.00999999999999,60.01,0.01,102.01,0.00999999999999,0.00999999999999,0.01,0.01,0.01,298.01,0.01,0.00999999999999,0.01,0.01,0.00999999999999,0.01,0.00999999999999
1448853,0.01,0.00999999999999,42.01,0.01,243.01,0.00999999999999,417.01,5191.01,144.01,443.01,0.01,0.01,0.00999999999999,0.01,0.01,0.00999999999999,488.01,0.01,3740.01,0.01,0.00999999999999,10135.01,0.00999999999999,0.01,0.00999999999999,1038.01,586.01,729.01,0.00999999999999,0.00999999999999,0.01,0.01,0.00999999999999,0.01,0.01,11205.01,0.00999999999999,2139.01,0.01,0.0100000000002,0.01,0.00999999999999,0.01,0.01,3001.01,66.01,154.01,0.00999999999999,7676.01,0.01,0.01,0.00999999999999,2866.01,0.00999999999999,0.01,0.00999999999999,0.00999999999999,0.01,0.0100000000002,0.01
12481028,0.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,0.01,0.01,0.00999999999999,0.01,0.01,0.01,117.01,0.01,0.01,81.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,0.01,0.01,0.01,26.01,0.01,559.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,29.01,0.01,0.00999999999999,0.01,63.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.01,0.01,72.01,0.01
11693518,1.01,0.01,0.01,0.01,0.00999999999999,0.01,0.01,0.01,0.01,148.01,0.01,0.01,0.01,89.01,0.01,0.01,19.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,0.01,0.01,0.01,150.01,0.01,30.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,37.01,0.01
100153138,0.01,0.01,0.01,0.01,0.01,0.00999999999999,19.01,0.01,0.00999999999999,0.00999999999999,0.01,0.01,0.01,363.01,0.01,0.01,96.01,0.01,0.01,0.00999999999999,0.01,0.00999999999999,0.01,0.01,0.01,0.01,3.01,0.01,1221.01,0.00999999999999,0.01,0.01,0.01,0.01,69.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,0.01,0.01,0.01,119.01,0.01,18.01,0.01,151.01,0.01,0.01,0.00999999999999,0.01,0.01,0.00999999999999,0.01,0.01,0.01,318.01,0.01
7701232,1257.01,0.00999999999999,148.01,342.01,3386.01,0.00999999999999,0.00999999999999,440.01,969.01,0.0100000000002,0.01,0.00999999999999,0.00999999999999,77.01,0.01,0.00999999999999,1395.01,0.00999999999999,0.00999999999999,293.01,0.01,4434.01,0.00999999999999,0.00999999999999,0.0100000000002,0.01,163.01,333.01,792.01,0.00999999999999,0.00999999999999,7.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.01,686.01,285.01,11931.01,0.01,1380.01,830.01,0.01,570.01,52.01,151.01,0.00999999999999,1667.01,0.00999999999999,540.01,0.00999999999999,319.01,780.01,0.00999999999999,65.01,0.00999999999999,409.01,2233.01,517.01
1858001,0.01,0.00999999999999,0.00999999999999,0.01,8153.01,343.01,0.01,1896.01,0.00999999999999,179.01,0.01,0.00999999999999,0.01,0.01,0.01,303.01,857.01,0.01,437.01,0.00999999999999,0.01,3867.01,0.01,0.01,0.00999999999999,0.01,0.00999999999999,614.01,225.01,0.01,0.00999999999999,0.01,0.00999999999999,0.01,0.00999999999999,0.00999999999999,0.00999999999999,514.01,0.00999999999999,21256.01,0.01,871.01,162.01,0.01,0.01,0.00999999999999,430.01,0.0100000000002,2803.01,1.01,63.01,0.01,581.01,28.01,0.01,0.00999999999999,0.01,0.01,0.01,1056.01
9724697,0.00999999999999,0.01,0.01,0.00999999999999,900.01,0.01,5.01,506.01,0.00999999999999,0.00999999999999,0.01,0.00999999999999,0.01,649.01,0.01,0.00999999999999,690.01,0.01,0.01,0.01,0.00999999999999,2075.01,0.00999999999999,0.00999999999999,0.01,0.00999999999999,14106.01,30.01,290.01,0.01,0.00999999999999,132.01,0.01,0.00999999999999,155.01,0.01,0.00999999999999,0.01,0.00999999999999,174.01,0.01,1.01,0.00999999999999,0.01,1076.01,0.00999999999999,681.01,0.01,1120.01,0.00999999999999,340.01,0.00999999999999,829.01,0.00999999999999,0.00999999999999,0.00999999999999,173.01,0.01,0.00999999999999,0.00999999999999
7689516,2299.01,0.00999999999999,316.01,105.01,894.01,9464.01,0.01,0.01,0.00999999999999,0.0100000000002,0.01,0.01,0.01,362.01,0.00999999999999,0.01,0.01,0.01,0.00999999999999,0.01,0.01,2346.01,0.00999999999999,0.01,0.00999999999999,353.01,0.00999999999999,1135.01,1068.01,4.01,0.01,0.01,220.01,0.01,61.01,0.01,668.01,2230.01,0.01,0.01,0.01,1.01,0.00999999999999,0.00999999999999,0.01,0.01,1312.01,0.00999999999999,149.01,0.01,96.01,0.01,0.00999999999999,0.01,848.01,0.00999999999999,0.01,259.01,4323.01,0.01
11724840,0.00999999999999,0.01,0.01,0.00999999999999,0.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.01,0.00999999999999,2.01,0.00999999999999,8600.01,0.01,0.01,2014.01,0.01,0.00999999999999,2362.01,0.00999999999999,77.01,0.00999999999999,287.01,0.01,0.01,0.01,0.00999999999999,0.0100000000002,982.01,0.00999999999999,1867.01,0.01,0.01,0.01,0.00999999999999,0.00999999999999,0.01,224.01,0.0100000000002,0.01,94.01,0.00999999999999,0.01,0.01,0.00999999999999,0.01,0.01,486.01,10983.01,3033.01,0.00999999999999,0.00999999999999,778.01,0.00999999999999,1444.01,9153.01,0.01,2352.01,0.00999999999999
