,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79
IA627,0.01,0.00999999999999,0.01,0.00999999999999,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.01,79.01,0.00999999999999,0.00999999999999,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,0.01,0.01,0.00999999999999,0.01,0.01,0.00999999999999,0.01,0.01,0.01,0.00999999999999,232.01,0.01,155.01,0.01,13.01,0.00999999999999,4.01,0.01,0.01,0.01,15.01,0.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.01,145.01,0.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,29.01,0.00999999999999,0.01,0.01,0.01,0.01,74.01,0.00999999999999,66.01,0.00999999999999,0.00999999999999,0.01,0.00999999999999,0.01,2230.01,22.01,1264.01,1040.01,288.01,64.01,0.01,6322.01,0.01
1448853,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,1874.01,0.01,485.01,0.00999999999999,0.00999999999999,0.00999999999999,0.01,1496.01,0.01,0.01,0.00999999999999,0.01,0.01,0.01,0.01,2.01,0.00999999999999,0.00999999999999,0.01,0.01,1734.01,2732.01,0.00999999999999,0.01,188.01,2837.01,0.01,1029.01,0.01,0.0100000000002,402.01,0.01,0.01,0.01,0.01,323.01,0.00999999999999,0.00999999999999,4259.01,0.0100000000002,48.01,554.01,15966.01,0.00999999999999,0.00999999999999,0.00999999999999,0.00999999999999,0.01,0.00999999999999,624.01,0.00999999999999,0.0100000000002,0.00999999999999,0.01,818.01,0.0100000000002,1797.01,0.01,7037.01,0.01,0.0100000000002,51.01,0.01,0.01,2014.01,680.01,3352.01,1.01,0.01,0.01,0.01
12481028,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5.01,0.01,0.00999999999999,0.01,0.01,90.01,0.01,130.01,0.01,0.01,0.01,0.01,0.01,26.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,24.01,0.01,0.01,0.00999999999999,0.01,47.01,0.01,0.01,0.00999999999999,0.01,0.01,7.01,0.01,532.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,0.01,0.01,0.01,0.01,5.01,0.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,0.01,0.01,81.01,0.01,0.00999999999999,0.01,0.01,0.01
11693518,0.01,0.01,0.01,0.01,0.01,0.01,1.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,58.01,0.01,40.01,0.01,0.01,0.01,0.01,0.01,267.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,11.01,0.01,0.01,0.01,0.01,11.01,0.01,0.01,1.01,0.01,0.01,0.01,0.01,45.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,23.01,0.01,0.01,0.00999999999999,0.01,0.01,0.00999999999999,0.01,0.01,0.01,17.01,0.01,0.01,0.01,0.01,0.01
100153138,0.01,0.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,0.01,0.01,0.01,0.00999999999999,0.01,0.01,353.01,0.01,469.01,0.01,0.00999999999999,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00999999999999,29.01,0.01,0.01,0.00999999999999,0.01,0.00999999999999,0.01,0.01,83.01,0.01,0.01,40.01,0.01,1051.01,0.01,0.01,39.01,0.01,0.01,0.01,0.00999999999999,0.00999999999999,0.01,0.00999999999999,0.01,0.01,0.01,0.00999999999999,0.01,0.01,0.01,0.01,0.01,64.01,0.01,0.01,5.01,0.01,0.01,0.00999999999999,0.01,0.01,0.00999999999999,102.01,0.01,142.01,0.01,0.01,0.00999999999999
7701232,0.00999999999999,0.01,0.0100000000002,0.01,0.01,0.01,0.01,0.00999999999999,0.01,4657.01,820.01,994.01,22.01,9970.01,0.00999999999999,0.00999999999999,1997.01,26.01,0.01,0.01,142.01,221.01,321.01,1.01,0.01,200.01,0.00999999999999,0.01,0.01,2224.01,452.01,0.00999999999999,291.01,0.01,99.01,0.00999999999999,1495.01,0.01,0.00999999999999,0.00999999999999,305.01,356.01,177.01,528.01,504.01,0.00999999999999,350.01,1201.01,0.00999999999999,0.00999999999999,1.01,0.01,142.01,0.00999999999999,0.01,0.01,0.00999999999999,107.01,530.01,1428.01,1.01,0.00999999999999,0.00999999999999,0.01,1143.01,0.01,0.00999999999999,2578.01,0.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.00999999999999,1608.01,499.01,507.01,0.00999999999999,0.00999999999999,554.01
1858001,0.01,0.01,240.01,0.01,0.01,0.01,0.00999999999999,0.00999999999999,0.01,7692.01,106.01,372.01,0.00999999999999,4255.01,0.00999999999999,0.00999999999999,2289.01,0.01,1.01,0.01,0.00999999999999,0.01,1268.01,0.00999999999999,0.01,0.01,0.00999999999999,0.01,86.01,1660.01,426.01,18.01,0.01,916.01,568.01,0.01,2515.01,0.01,0.01,0.01,49.01,400.01,0.01,13357.01,0.01,0.00999999999999,0.0100000000002,856.01,0.0100000000002,0.01,0.01,0.00999999999999,0.00999999999999,0.01,0.01,0.01,201.01,0.01,0.0100000000002,0.00999999999999,0.00999999999999,0.01,0.01,0.00999999999999,256.01,0.00999999999999,0.00999999999999,3722.01,0.01,0.01,0.01,0.00999999999999,1035.01,0.00999999999999,1059.01,429.01,471.01,0.01,0.01,392.01
9724697,0.00999999999999,0.00999999999999,0.00999999999999,0.01,0.01,0.01,0.01,0.00999999999999,1739.01,444.01,0.00999999999999,15.01,0.00999999999999,117.01,331.01,0.01,1087.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.00999999999999,1539.01,0.00999999999999,0.01,0.01,0.01,0.01,0.01,131.01,0.01,33.01,29.01,0.01,839.01,0.00999999999999,3.01,0.00999999999999,0.01,388.01,206.01,0.00999999999999,212.01,0.01,0.00999999999999,0.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.00999999999999,12050.01,0.00999999999999,0.01,0.01,0.01,0.01,0.00999999999999,752.01,0.01,0.00999999999999,0.00999999999999,0.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,1593.01,57.01,0.00999999999999,359.01,0.00999999999999,0.01,0.01,552.01,0.01,1364.01,0.00999999999999,0.01,92.01
7689516,0.01,0.00999999999999,0.01,0.00999999999999,0.01,0.01,0.00999999999999,0.01,0.01,3076.01,0.01,0.00999999999999,0.00999999999999,65.01,1075.01,1.01,3209.01,10.01,0.01,0.00999999999999,0.01,0.01,0.01,0.00999999999999,0.01,0.01,0.01,0.01,0.00999999999999,0.01,120.01,0.01,104.01,0.00999999999999,0.01,0.00999999999999,2023.01,0.00999999999999,0.01,145.01,34.01,0.01,0.01,0.01,367.01,10085.01,0.01,1708.01,0.00999999999999,0.00999999999999,0.00999999999999,0.01,0.00999999999999,0.00999999999999,165.01,0.00999999999999,773.01,1261.01,327.01,0.01,150.01,686.01,0.00999999999999,0.01,871.01,0.00999999999999,0.00999999999999,300.01,0.01,0.01,0.01,0.01,0.01,789.01,0.00999999999999,149.01,800.01,0.01,0.01,220.01
11724840,447.01,0.00999999999999,0.00999999999999,457.01,0.01,0.00999999999999,0.00999999999999,0.01,6884.01,0.0100000000002,3.01,0.01,682.01,0.01,7865.01,0.01,0.01,788.01,0.00999999999999,0.01,334.01,0.00999999999999,0.00999999999999,0.01,0.01,8214.01,0.01,0.00999999999999,217.01,0.01,0.00999999999999,52.01,263.01,0.01,0.01,9577.01,0.00999999999999,0.01,0.01,2060.01,2258.01,0.01,0.01,0.00999999999999,0.00999999999999,0.01,0.01,225.01,0.01,0.0100000000002,0.00999999999999,0.00999999999999,0.00999999999999,64.01,0.01,0.01,0.00999999999999,0.00999999999999,0.0100000000002,150.01,0.01,0.01,0.01,0.01,588.01,0.00999999999999,0.0100000000002,323.01,943.01,0.01,0.01,0.01,0.01,0.01,2331.01,0.01,0.01,13.01,0.00999999999999,0.01
